,DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,just_date,residuals
14102,41b5d78b-2a2a-4588-ad16-af10636d9971,339947,Temperature - 339947 @Admin AirCond,2/21/2018 10:53,8.3,8.3Â° C,100,2018-02-21,-19.843199399314823
14103,da8b5bbc-b5e5-47ef-aa05-295f94ab4ce0,339947,Temperature - 339947 @Admin AirCond,2/21/2018 11:03,8.0,8Â° C,100,2018-02-21,-20.212114985918003
14104,9e3aad0f-0925-47a5-ba8a-691b850b2a51,339947,Temperature - 339947 @Admin AirCond,2/21/2018 11:13,8.0,8Â° C,100,2018-02-21,-20.3661485398533
14105,78f400fb-c771-414c-b02c-4760e6ff3a32,339947,Temperature - 339947 @Admin AirCond,2/21/2018 11:23,7.8,7.8Â° C,100,2018-02-21,-20.602033273461924
14107,c60bd09b-a5fc-4c2b-b142-1a50c9d7f021,339947,Temperature - 339947 @Admin AirCond,2/21/2018 11:33,7.8,7.8Â° C,100,2018-02-21,-20.525939785654938
14108,36f0a2e4-059f-4b31-bb95-b50b210bbf66,339947,Temperature - 339947 @Admin AirCond,2/21/2018 11:43,8.1,8.1Â° C,100,2018-02-21,-20.052387132693685
14109,e311e0e9-8653-4c8f-b69a-0339127c9a10,339947,Temperature - 339947 @Admin AirCond,2/21/2018 11:53,8.1,8.1Â° C,100,2018-02-21,-20.073934298244232
14110,6178fb76-674b-4347-bb37-62e39e4e5f62,339947,Temperature - 339947 @Admin AirCond,2/21/2018 12:02,8.1,8.1Â° C,100,2018-02-21,-20.083140265972638
14111,42f305a1-7d31-4b68-bd34-24f04c300749,339947,Temperature - 339947 @Admin AirCond,2/21/2018 12:12,8.3,8.3Â° C,100,2018-02-21,-19.90468743152318
14269,3d6004fd-b6a4-4d21-ba44-8d254d56084e,339947,Temperature - 339947 @Admin AirCond,2/22/2018 14:30,8.4,8.4Â° C,100,2018-02-22,-19.703169577589307
14813,0a3687d9-bdaf-4efd-b03c-17cf9a608e4e,339947,Temperature - 339947 @Admin AirCond,2/26/2018 8:46,8.5,8.5Â° C,100,2018-02-26,-19.810229428631978
14818,7a5ae4e5-f5d2-4f69-93a3-3e0d352cd515,339947,Temperature - 339947 @Admin AirCond,2/26/2018 9:36,8.2,8.2Â° C,100,2018-02-26,-19.943378306391367
14819,eaa8dc80-c10f-49de-9c51-a939a8c0cb16,339947,Temperature - 339947 @Admin AirCond,2/26/2018 9:46,8.3,8.3Â° C,100,2018-02-26,-19.872367428585708
14820,6d598cd9-056e-4bc3-9928-6f202ac83923,339947,Temperature - 339947 @Admin AirCond,2/26/2018 9:56,8.3,8.3Â° C,100,2018-02-26,-19.77086653263124
14822,add87ef0-a54e-4a47-b18a-3ba78ed94cb3,339947,Temperature - 339947 @Admin AirCond,2/26/2018 10:16,8.5,8.5Â° C,100,2018-02-26,-19.852801219851145
14823,88909f41-fb8e-4cea-a742-6534f614d453,339947,Temperature - 339947 @Admin AirCond,2/26/2018 10:26,8.4,8.4Â° C,100,2018-02-26,-20.073441884695214
14824,1820e8d4-fc6a-4430-9f77-f4023f035417,339947,Temperature - 339947 @Admin AirCond,2/26/2018 10:36,8.2,8.2Â° C,100,2018-02-26,-20.31295732267904
14825,59b0de3a-7f8e-438b-a1cf-91662a105df4,339947,Temperature - 339947 @Admin AirCond,2/26/2018 10:46,8.2,8.2Â° C,100,2018-02-26,-20.19131123616195
14826,e22ced2e-cddf-4849-a9d2-1699034c69d5,339947,Temperature - 339947 @Admin AirCond,2/26/2018 10:56,8.1,8.1Â° C,100,2018-02-26,-20.258412881042318
15106,6102cb57-84ea-4b83-a6d8-77a8342b3932,339947,Temperature - 339947 @Admin AirCond,2/28/2018 9:12,8.2,8.2Â° C,100,2018-02-28,-20.30690073485651
15107,2d70b255-a663-46c7-8ea4-716b07cc7d7e,339947,Temperature - 339947 @Admin AirCond,2/28/2018 9:22,8.5,8.5Â° C,100,2018-02-28,-19.88525464833942
15108,a4f5b608-ebc5-44d7-a04a-e9713aef331e,339947,Temperature - 339947 @Admin AirCond,2/28/2018 9:32,8.3,8.3Â° C,100,2018-02-28,-20.052356293219788
15110,4e2d3088-7324-4efa-b279-554fcec11d01,339947,Temperature - 339947 @Admin AirCond,2/28/2018 9:52,8.1,8.1Â° C,100,2018-02-28,-20.08383725993153
15111,7083d38c-7524-46fb-b02b-b85b57557cb9,339947,Temperature - 339947 @Admin AirCond,2/28/2018 10:02,8.4,8.4Â° C,100,2018-02-28,-19.74023110081916
15112,6e9f6b05-dc82-46e9-8db1-19813bbd3053,339947,Temperature - 339947 @Admin AirCond,2/28/2018 10:12,8.2,8.2Â° C,100,2018-02-28,-20.02039989633474
15250,0a5d093a-22d2-4635-8b3e-5d501f15fe33,339947,Temperature - 339947 @Admin AirCond,3/1/2018 8:50,8.5,8.5Â° C,100,2018-03-01,-19.849327999308525
15252,10fdfec3-742c-4514-a3d9-c5b27526e4a6,339947,Temperature - 339947 @Admin AirCond,3/1/2018 9:10,8.4,8.4Â° C,100,2018-03-01,-19.780808966020263
15972,52f1906b-6452-4bbf-93cb-35f4147aa0ba,339947,Temperature - 339947 @Admin AirCond,3/6/2018 8:59,7.6,7.6Â° C,100,2018-03-06,-20.06723423055803
15973,3ebd96df-1d95-46dc-aa12-1a29ddc4eb47,339947,Temperature - 339947 @Admin AirCond,3/6/2018 9:09,7.8,7.8Â° C,100,2018-03-06,-19.855571041525618
16178,2e8e61e2-70d4-4218-a7b9-f59a27c8353b,339947,Temperature - 339947 @Admin AirCond,3/7/2018 19:16,7.7,7.7Â° C,100,2018-03-07,-19.877803127209052
16258,7fb8b31c-19d2-4d76-9a3a-6caed981da23,339947,Temperature - 339947 @Admin AirCond,3/8/2018 8:35,7.7,7.7Â° C,100,2018-03-08,-19.91381452294379
16259,d9823061-f766-4d39-83b2-ab0490e3e697,339947,Temperature - 339947 @Admin AirCond,3/8/2018 8:45,7.8,7.8Â° C,100,2018-03-08,-19.75133463699668
18734,d1655ef6-814f-4116-b9f6-8ca71a9f70c9,339947,Temperature - 339947 @Admin AirCond,4/1/2018 14:59,8.3,8.3Â° C,100,2018-04-01,-19.730155067370028
27146,9b871345-4a4b-4ee2-9925-0c9ecd916fb1,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 8:06,7.7,7.7Â° C,100,2018-06-18,-20.044714352623853
27147,c7ff782a-eca2-435e-9488-a4a8642b1f6b,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 8:16,7.7,7.7Â° C,100,2018-06-18,-20.024370924027128
27148,980723d8-dac0-4405-a85c-79c71b336a4b,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 8:26,7.2,7.2Â° C,100,2018-06-18,-20.596404990893195
27164,9d253231-2422-480a-99ec-694d449e979b,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 11:06,8.3,8.3Â° C,100,2018-06-18,-19.911744979080616
27165,0f493fcc-8bd1-402b-a9d1-cd92a8c629a0,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 11:16,7.5,7.5Â° C,100,2018-06-18,-20.53822550692672
27166,647ab646-0bbb-41bc-99a3-5d748a12260c,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 11:26,7.5,7.5Â° C,100,2018-06-18,-20.559805853284626
27167,a99324d8-f108-4827-982c-7169fdda87c9,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 11:36,6.9,6.9Â° C,100,2018-06-18,-21.169045001820386
27168,9116758b-21bb-4fd4-8fb4-901a8201eb21,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 11:46,7.2,7.2Â° C,100,2018-06-18,-20.890625348178283
27169,e251a4ce-b491-4f39-aafc-7914449bac82,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 11:56,7.3,7.3Â° C,100,2018-06-18,-20.745055059327473
27170,91a69e7c-3964-4d5a-9e74-4b147443c007,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 12:06,7.1,7.1Â° C,100,2018-06-18,-20.97407642201932
27171,c671fc88-c8de-46c6-8286-ce5cedb896a1,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 12:16,7.6,7.6Â° C,100,2018-06-18,-20.37260776656234
27172,d107ce20-a038-4318-b275-38178edc989f,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 12:26,7.3,7.3Â° C,100,2018-06-18,-20.82304473723966
27173,20396ab4-024e-4c4b-8c7f-e5845b52cc48,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 12:36,6.8,6.8Â° C,100,2018-06-18,-21.45460693477723
27174,f38236ca-8db3-429b-ac25-13b48fbfa63b,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 12:46,7.3,7.3Â° C,100,2018-06-18,-21.075279840118803
27175,cccdfff8-4eea-4ab2-88f0-a8b8ef1977f2,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 12:56,7.0,7Â° C,100,2018-06-18,-21.414827518600124
27176,cde71c72-fb9c-4f3f-b4d0-35f83ec32f5c,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 13:06,7.1,7.1Â° C,100,2018-06-18,-21.193213672580526
27188,53bd7672-f6fb-4ae1-8a1c-c5bd33e2ca11,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 15:06,7.5,7.5Â° C,100,2018-06-18,-20.33294007932908
27193,177ab7dc-c294-4e24-ba8b-3d493eae4ca6,339948,Temperature - 339948 @ Admin Air Cond,6/18/2018 15:56,7.8,7.8Â° C,100,2018-06-18,-19.822330014385376
27425,2d74702b-ad86-4bbb-b813-8b8dfdfd7bfd,339948,Temperature - 339948 @ Admin Air Cond,6/20/2018 6:34,7.9,7.9Â° C,100,2018-06-20,-19.84334613705231
27427,c164b0d4-0c36-4182-bea0-b757b1fe7595,339948,Temperature - 339948 @ Admin Air Cond,6/20/2018 6:54,7.6,7.6Â° C,100,2018-06-20,-20.12734167550314
28290,62b72ce8-d581-4474-b77b-3a154a19d5ef,339948,Temperature - 339948 @ Admin Air Cond,6/26/2018 6:36,8.2,8.2Â° C,100,2018-06-26,-19.87198179747717
28480,a8064f95-b19b-4c7b-a387-1556318a0595,339948,Temperature - 339948 @ Admin Air Cond,6/27/2018 14:14,6.9,6.9Â° C,100,2018-06-27,-20.684397564382113
28481,31f5c1b6-47b4-469b-a9ce-7c271b3bd604,339948,Temperature - 339948 @ Admin Air Cond,6/27/2018 14:24,7.3,7.3Â° C,100,2018-06-27,-20.42419965564975
28482,d88fffc8-d7e9-4d7e-b565-6a5541546513,339948,Temperature - 339948 @ Admin Air Cond,6/27/2018 14:34,7.3,7.3Â° C,100,2018-06-27,-20.39709265600829
28483,3ba22b44-9c47-40ee-aca1-f1d0d965b662,339948,Temperature - 339948 @ Admin Air Cond,6/27/2018 14:44,6.9,6.9Â° C,100,2018-06-27,-20.748894747275923
28484,d468354e-31f6-4d78-b125-aab4baf62ed5,339948,Temperature - 339948 @ Admin Air Cond,6/27/2018 14:54,7.1,7.1Â° C,100,2018-06-27,-20.430151383998105
28485,26d1ca00-41ad-4476-982b-3561093689d5,339948,Temperature - 339948 @ Admin Air Cond,6/27/2018 15:04,7.1,7.1Â° C,100,2018-06-27,-20.46340802072028
28486,a14f90d5-feff-4a49-8d98-3ed5b40302e3,339948,Temperature - 339948 @ Admin Air Cond,6/27/2018 15:14,6.9,6.9Â° C,100,2018-06-27,-20.579028293806097
28487,34467b84-01a6-4012-94a4-2f1d3be711dd,339948,Temperature - 339948 @ Admin Air Cond,6/27/2018 15:24,7.1,7.1Â° C,100,2018-06-27,-20.23428493052827
