Equipment ID,Inspection Date,PD Average,PD Count,Temperature,Humidity,Loading,Confirm action,Building,Room,Equipment Name,Measurement Position
18537,22/8/2017 12:00:00 AM,326.85,2,32.1,56.1,2,?,-,Mitsui QC17,Transformer 150KVA (S/N: A1F27877T602-1) (11kV/440V),High Voltage side Point A
18537,10/7/2018 12:00:00 AM,216.2,2,33.4,59.8,5,?,-,Mitsui QC17,Transformer 150KVA (S/N: A1F27877T602-1) (11kV/440V),High Voltage side Point A
18537,14/3/2019 12:00:00 AM,270.69,2,33.3,54.1,1,?,-,Mitsui QC17,Transformer 150KVA (S/N: A1F27877T602-1) (11kV/440V),High Voltage side Point A
18538,22/8/2017 12:00:00 AM,391.05,1,32.1,56.1,2,?,-,Mitsui QC17,Transformer 150KVA (S/N: A1F27877T602-1) (11kV/440V),High Voltage side Point B
18538,10/7/2018 12:00:00 AM,271.66,2,33.4,59.8,5,?,-,Mitsui QC17,Transformer 150KVA (S/N: A1F27877T602-1) (11kV/440V),High Voltage side Point B
18538,14/3/2019 12:00:00 AM,320.41,2,33.3,54.1,1,?,-,Mitsui QC17,Transformer 150KVA (S/N: A1F27877T602-1) (11kV/440V),High Voltage side Point B
18539,22/8/2017 12:00:00 AM,261.08,1,32.1,56.1,2,?,-,Mitsui QC17,Transformer 150KVA (S/N: A1F27877T602-1) (11kV/440V),High Voltage side Point C
18539,10/7/2018 12:00:00 AM,204.5,3,33.4,59.8,5,?,-,Mitsui QC17,Transformer 150KVA (S/N: A1F27877T602-1) (11kV/440V),High Voltage side Point C
18539,14/3/2019 12:00:00 AM,182.3,3,33.3,54.1,1,?,-,Mitsui QC17,Transformer 150KVA (S/N: A1F27877T602-1) (11kV/440V),High Voltage side Point C
18540,22/8/2017 12:00:00 AM,467.84,1,32.7,53.9,4,?,-,Mitsui QC18,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18540,10/7/2018 12:00:00 AM,1109.5,10,32.3,59.6,45,?,-,Mitsui QC18,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18540,14/3/2019 12:00:00 AM,378.95,2,32.5,55.4,2,?,-,Mitsui QC18,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18541,22/8/2017 12:00:00 AM,731.77,6,32.7,53.9,4,?,-,Mitsui QC18,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18541,10/7/2018 12:00:00 AM,1022.9,13,32.3,59.6,45,?,-,Mitsui QC18,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18541,14/3/2019 12:00:00 AM,327.79,3,32.5,55.4,2,?,-,Mitsui QC18,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18542,22/8/2017 12:00:00 AM,615.06,3,32.7,53.9,4,?,-,Mitsui QC18,Panel 2 - Incoming Panel,Top
18543,22/8/2017 12:00:00 AM,434.99,2,32.7,53.9,4,?,-,Mitsui QC18,Panel 2 - Incoming Panel,Bottom
18544,22/8/2017 12:00:00 AM,603.02,6,32.7,53.9,2,?,-,Mitsui QC18,Transformer 1200KVA (S/N: A1F27877T601-2) (11kV/440V),High Voltage side Point A
18544,10/7/2018 12:00:00 AM,584.4,8,32.3,59.6,40,?,-,Mitsui QC18,Transformer 1200KVA (S/N: A1F27877T601-2) (11kV/440V),High Voltage side Point A
18544,14/3/2019 12:00:00 AM,378.69,2,32.5,55.4,1,?,-,Mitsui QC18,Transformer 1200KVA (S/N: A1F27877T601-2) (11kV/440V),High Voltage side Point A
18545,22/8/2017 12:00:00 AM,719.68,7,32.7,53.9,2,?,-,Mitsui QC18,Transformer 1200KVA (S/N: A1F27877T601-2) (11kV/440V),High Voltage side Point B
18545,10/7/2018 12:00:00 AM,893.73,11,32.3,59.6,40,?,-,Mitsui QC18,Transformer 1200KVA (S/N: A1F27877T601-2) (11kV/440V),High Voltage side Point B
18545,14/3/2019 12:00:00 AM,437.27,5,32.5,55.4,1,?,-,Mitsui QC18,Transformer 1200KVA (S/N: A1F27877T601-2) (11kV/440V),High Voltage side Point B
18546,22/8/2017 12:00:00 AM,571.49,8,32.7,53.9,2,?,-,Mitsui QC18,Transformer 1200KVA (S/N: A1F27877T601-2) (11kV/440V),High Voltage side Point C
18546,10/7/2018 12:00:00 AM,1061.16,5,32.3,59.6,40,?,-,Mitsui QC18,Transformer 1200KVA (S/N: A1F27877T601-2) (11kV/440V),High Voltage side Point C
18546,14/3/2019 12:00:00 AM,335.5,4,32.5,55.4,1,?,-,Mitsui QC18,Transformer 1200KVA (S/N: A1F27877T601-2) (11kV/440V),High Voltage side Point C
18547,22/8/2017 12:00:00 AM,581.06,11,32.7,53.9,2,?,-,Mitsui QC18,Transformer 150KVA (S/N: A1F27877T602-2) (11kV/440V),High Voltage side Point A
18547,10/7/2018 12:00:00 AM,1081.67,7,32.3,59.6,5,?,-,Mitsui QC18,Transformer 150KVA (S/N: A1F27877T602-2) (11kV/440V),High Voltage side Point A
18547,14/3/2019 12:00:00 AM,270.13,5,32.5,55.4,1,?,-,Mitsui QC18,Transformer 150KVA (S/N: A1F27877T602-2) (11kV/440V),High Voltage side Point A
18548,22/8/2017 12:00:00 AM,581.23,7,32.7,53.9,2,?,-,Mitsui QC18,Transformer 150KVA (S/N: A1F27877T602-2) (11kV/440V),High Voltage side Point B
18548,10/7/2018 12:00:00 AM,1641.41,13,32.3,59.6,5,?,-,Mitsui QC18,Transformer 150KVA (S/N: A1F27877T602-2) (11kV/440V),High Voltage side Point B
18548,14/3/2019 12:00:00 AM,417.6,1,32.5,55.4,1,?,-,Mitsui QC18,Transformer 150KVA (S/N: A1F27877T602-2) (11kV/440V),High Voltage side Point B
18549,22/8/2017 12:00:00 AM,564.87,3,32.7,53.9,2,?,-,Mitsui QC18,Transformer 150KVA (S/N: A1F27877T602-2) (11kV/440V),High Voltage side Point C
18549,10/7/2018 12:00:00 AM,953.44,7,32.3,59.6,5,?,-,Mitsui QC18,Transformer 150KVA (S/N: A1F27877T602-2) (11kV/440V),High Voltage side Point C
18549,14/3/2019 12:00:00 AM,359.79,7,32.5,55.4,1,?,-,Mitsui QC18,Transformer 150KVA (S/N: A1F27877T602-2) (11kV/440V),High Voltage side Point C
18550,22/8/2017 12:00:00 AM,225.13,2,32.2,53.7,4,?,-,Mitsui QC19,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18550,10/7/2018 12:00:00 AM,952.15,3,33.7,54.5,23,?,-,Mitsui QC19,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18550,12/3/2019 12:00:00 AM,695.72,5,35.5,48.8,5,?,-,Mitsui QC19,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
